interaction_id,customer_id,agent_id,interaction_datetime,interaction_duration_seconds,call_direction,call_channel,call_status,customer_satisfaction_score,speech_sentiment_score,speech_transcript,topics_detected,issue_resolved,follow_up_required,follow_up_due_date,language,customer_feedback_text,agent_notes
INT00001,CUST00001,AGT0001,2024-01-01T09:10:13,415,inbound,phone,completed,4.7,0.82,"Hello, I need help resetting my password please.","password_reset,online_banking",true,false,,en,"Thank you for your help, great service.",Customer called regarding password reset. Issue resolved during the call. Provided instructions and ensured access was restored.
INT00002,CUST00002,AGT0002,2024-01-01T11:24:50,23,outbound,phone,dropped,,,,,false,false,,en,,Call dropped instantly. No customer response.
INT00003,CUST00003,AGT0003,2024-01-01T13:32:05,198,inbound,chat,completed,4.1,0.63,"Hi, I want to check my last three statements.","statement_request,balance_inquiry",true,false,,es,"Gracias, todo bien.",Customer requested recent statements. Provided download links and confirmed understanding.
INT00004,CUST00001,AGT0004,2024-01-02T10:45:14,37,inbound,phone,abandoned,0,-0.95,,,false,false,,en,,Caller disconnected before an agent could answer.
INT00005,CUST00004,AGT0001,2024-01-02T15:08:55,720,inbound,phone,completed,4.5,0.91,I am having trouble with my debit card online purchase.,"card_issue,online_payment",true,false,,en,Resolved my issue quickly.,Customer reported card decline online. Walked through troubleshooting and resolved the problem.
INT00006,CUST00005,AGT0005,2024-01-02T16:42:30,312,outbound,video,completed,4.2,0.78,"Hi, we are reaching out to discuss your account upgrade options.","customer_outreach,account_upgrade",true,false,,fr,Merci pour l'information.,Proactive outreach regarding account upgrades. Customer interested in more info.
INT00007,CUST00006,AGT0006,2024-01-03T10:14:07,51,outbound,phone,abandoned,,,,,false,false,,en,,Outbound call not answered by customer.
INT00008,CUST00007,AGT0007,2024-01-03T11:25:10,1680,inbound,phone,transferred,1.5,-0.62,I'm not happy with the recent charges. Can I speak to a supervisor?,"complaint,fees,escalation",false,true,2024-01-09,en,Still waiting for resolution.,Customer escalated complaint regarding fees. Call transferred to supervisor. Follow-up required.
INT00009,CUST00008,AGT0008,2024-01-03T14:05:34,603,inbound,chat,completed,3.9,0.47,Can you help me update the email address on my account?,"profile_update,account_access",true,false,,en,"Quick help, thanks.",Assisted customer with updating email address. Issue resolved with no follow-up required.
INT00010,CUST00009,AGT0002,2024-01-04T09:05:11,39,inbound,phone,dropped,0,-1,,,false,false,,en,,Customer hung up before speaking to agent.
