interaction_id,customer_id,agent_id,interaction_datetime,interaction_duration_seconds,call_direction,call_channel,call_status,customer_satisfaction_score,speech_sentiment_score,speech_transcript,topics_detected,issue_resolved,follow_up_required,follow_up_due_date,language,customer_feedback_text,agent_notes,call_hour,call_dayofweek,hour
INT00001,CUST00001,AGT0001,2024-01-01 09:10:13,415,inbound,phone,completed,4.7,0.82,"Hello, I need help resetting my password please.","['password_reset', 'online_banking']",True,False,,en,"Thank you for your help, great service.",Customer called regarding password reset. Issue resolved during the call. Provided instructions and ensured access was restored.,9,Monday,9
INT00002,CUST00002,AGT0002,2024-01-01 11:24:50,23,outbound,phone,dropped,,,,[],False,False,,en,,Call dropped instantly. No customer response.,11,Monday,11
INT00003,CUST00003,AGT0003,2024-01-01 13:32:05,198,inbound,chat,completed,4.1,0.63,"Hi, I want to check my last three statements.","['statement_request', 'balance_inquiry']",True,False,,es,"Gracias, todo bien.",Customer requested recent statements. Provided download links and confirmed understanding.,13,Monday,13
INT00004,CUST00001,AGT0004,2024-01-02 10:45:14,37,inbound,phone,abandoned,0.0,-0.95,,[],False,False,,en,,Caller disconnected before an agent could answer.,10,Tuesday,10
INT00005,CUST00004,AGT0001,2024-01-02 15:08:55,720,inbound,phone,completed,4.5,0.91,I am having trouble with my debit card online purchase.,"['card_issue', 'online_payment']",True,False,,en,Resolved my issue quickly.,Customer reported card decline online. Walked through troubleshooting and resolved the problem.,15,Tuesday,15
INT00006,CUST00005,AGT0005,2024-01-02 16:42:30,312,outbound,video,completed,4.2,0.78,"Hi, we are reaching out to discuss your account upgrade options.","['customer_outreach', 'account_upgrade']",True,False,,fr,Merci pour l'information.,Proactive outreach regarding account upgrades. Customer interested in more info.,16,Tuesday,16
INT00007,CUST00006,AGT0006,2024-01-03 10:14:07,51,outbound,phone,abandoned,,,,[],False,False,,en,,Outbound call not answered by customer.,10,Wednesday,10
INT00008,CUST00007,AGT0007,2024-01-03 11:25:10,1680,inbound,phone,transferred,1.5,-0.62,I'm not happy with the recent charges. Can I speak to a supervisor?,"['complaint', 'fees', 'escalation']",False,True,2024-01-09,en,Still waiting for resolution.,Customer escalated complaint regarding fees. Call transferred to supervisor. Follow-up required.,11,Wednesday,11
INT00009,CUST00008,AGT0008,2024-01-03 14:05:34,603,inbound,chat,completed,3.9,0.47,Can you help me update the email address on my account?,"['profile_update', 'account_access']",True,False,,en,"Quick help, thanks.",Assisted customer with updating email address. Issue resolved with no follow-up required.,14,Wednesday,14
INT00010,CUST00009,AGT0002,2024-01-04 09:05:11,39,inbound,phone,dropped,0.0,-1.0,,[],False,False,,en,,Customer hung up before speaking to agent.,9,Thursday,9
INT00011,CUST00010,AGT0006,2024-01-04 11:32:08,549,inbound,phone,completed,4.6,0.75,"I'd like to open a new savings account, please.","['account_opening', 'product_info']",True,False,,en,"Very helpful, thank you.",Explained savings account options. Customer chose to open a new account. No follow-up needed.,11,Thursday,11
INT00012,CUST00011,AGT0009,2024-01-05 12:20:22,287,inbound,chat,completed,4.3,0.67,How do I set up alerts for my balance?,"['alerts', 'online_banking']",True,False,,en,"Easy to set up, thanks.",Guided the customer through setting up balance alerts. No issues reported.,12,Friday,12
INT00013,CUST00012,AGT0003,2024-01-06 11:15:19,34,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer from customer, call ended.",11,Saturday,11
INT00014,CUST00013,AGT0010,2024-01-07 10:00:00,188,inbound,chat,completed,3.8,0.51,Can you help me check my loan application status?,"['loan_status', 'application']",True,False,,en,Fast chat support.,Provided loan application status. No further action needed.,10,Sunday,10
INT00015,CUST00014,AGT0011,2024-01-07 14:33:27,552,outbound,video,completed,4.9,0.97,"Good afternoon, we are offering a loyalty bonus to valued clients.","['customer_outreach', 'loyalty']",True,False,,en,"Loved the offer, thank you.",Discussed loyalty program offers. Customer was very pleased.,14,Sunday,14
INT00016,CUST00015,AGT0012,2024-01-08 09:28:34,26,inbound,phone,dropped,,,,[],False,False,,fr,,No connection; call dropped after greeting.,9,Monday,9
INT00017,CUST00016,AGT0013,2024-01-08 12:45:00,466,inbound,phone,completed,4.2,0.7,Can you explain the charges on my statement?,"['statement_inquiry', 'fees']",True,False,,en,Agent clarified everything.,Reviewed statement charges with customer. All questions answered.,12,Monday,12
